"CCO_d","Hbdiff_d","HbT_d","HbO2_d","HHb_d","LacNaa_d","NaaCr_d","SaO2sup","P_a","rocc","nadir_s","endhi_s","lin_s"
0.0,0.0,0.0,0.0,0.0,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.094,-0.319,-0.038400000000000004,-0.1787,0.14029999999999998,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.188,-0.638,-0.07680000000000001,-0.3574,0.28059999999999996,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.282,-0.9570000000000001,-0.11520000000000001,-0.5361,0.4209,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.376,-1.276,-0.15360000000000001,-0.7148,0.5611999999999999,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.47,-1.595,-0.192,-0.8935,0.7015,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.564,-1.9140000000000001,-0.23040000000000002,-1.0722,0.8418,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.6579999999999999,-2.233,-0.26880000000000004,-1.2509,0.9821,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.752,-2.552,-0.30720000000000003,-1.4296,1.1223999999999998,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.846,-2.871,-0.3456,-1.6082999999999998,1.2627,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.94,-3.19,-0.384,-1.787,1.403,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.9325,-2.9778,-0.2396,-1.6087,1.3691,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.9249999999999999,-2.7656,-0.0952,-1.4304,1.3352,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.9175,-2.5534,0.04920000000000002,-1.2521,1.3013000000000001,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.9099999999999999,-2.3411999999999997,0.1936,-1.0737999999999999,1.2674,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.9025,-2.129,0.33799999999999997,-0.8955,1.2335,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.895,-1.9168,0.48240000000000005,-0.7172000000000001,1.1996,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
0.8875,-1.7046000000000001,0.6267999999999999,-0.5388999999999999,1.1657,0.21573072992999998,1.37115366915,0.882,49.5,0.0,0.0,0.0,0.0
