"CCO_d","Hbdiff_d","HbT_d","HbO2_d","HHb_d","LacNaa_d","NaaCr_d","SaO2sup","P_a","rocc","nadir_s","endhi_s","lin_s"
0.2358,-0.45130000000000003,0.47930000000000017,0.014000000000000012,0.4653,0.021973430449999998,2.3256783469699998,0.956,59.5,0.0,0.0,0.0,0.0
0.2422,-0.4312,0.5872000000000002,0.07800000000000001,0.5092,0.0219708087,2.33235122908,0.956,59.5,0.0,0.0,0.0,0.0
0.24860000000000002,-0.4111,0.6951000000000002,0.14199999999999996,0.5530999999999999,0.02196818695,2.3390241111899996,0.956,59.5,0.0,0.0,0.0,0.0
0.255,-0.391,0.8030000000000002,0.20600000000000002,0.597,0.0219655652,2.3456969933,0.956,59.5,0.0,0.0,0.0,0.0
0.22160000000000002,-0.31320000000000003,0.9622,0.3245,0.6376999999999999,0.025248239409999998,2.2890589045,0.956,59.5,0.0,0.0,0.0,0.0
0.1882,-0.23540000000000003,1.1214,0.443,0.6784,0.02853091362,2.2324208157,0.956,59.5,0.0,0.0,0.0,0.0
0.1548,-0.15760000000000002,1.2806000000000002,0.5615,0.7191,0.03181358783,2.1757827268999996,0.956,59.5,0.0,0.0,0.0,0.0
0.12140000000000001,-0.07980000000000004,1.4398,0.6799999999999999,0.7598,0.03509626204,2.1191446381,0.956,59.5,0.0,0.0,0.0,0.0
0.088,-0.0020000000000000018,1.5990000000000002,0.7985,0.8005,0.038378936249999995,2.0625065493,0.956,59.5,0.0,0.0,0.0,0.0
0.05460000000000001,0.07579999999999998,1.7582,0.917,0.8412,0.04166161046,2.0058684605,0.956,59.5,0.0,0.0,0.0,0.0
0.021199999999999997,0.15359999999999996,1.9174000000000002,1.0355,0.8819,0.04494428467,1.9492303717,0.956,59.5,0.0,0.0,0.0,0.0
-0.012199999999999989,0.23139999999999994,2.0766,1.154,0.9226,0.048226958880000004,1.8925922829,0.956,59.5,0.0,0.0,0.0,0.0
-0.04560000000000003,0.3091999999999999,2.2358000000000002,1.2725,0.9633,0.05150963309,1.8359541941,0.956,59.5,0.0,0.0,0.0,0.0
-0.07900000000000001,0.387,2.395,1.391,1.004,0.054792307299999995,1.7793161053,0.956,59.5,0.0,0.0,0.0,0.0
-0.0802,0.3536,2.4334,1.3935,1.0399,0.051374868170000004,1.80805582665,0.956,59.5,0.0,0.0,0.0,0.0
-0.0814,0.32020000000000004,2.4718,1.396,1.0758,0.04795742904,1.836795548,0.956,59.5,0.0,0.0,0.0,0.0
-0.0826,0.2868,2.5102,1.3985,1.1117,0.04453998991,1.86553526935,0.956,59.5,0.0,0.0,0.0,0.0
-0.0838,0.2534,2.5486,1.401,1.1476,0.04112255078,1.8942749907,0.956,59.5,0.0,0.0,0.0,0.0
-0.08499999999999999,0.22,2.5869999999999997,1.4035,1.1835,0.03770511165,1.92301471205,0.956,59.5,0.0,0.0,0.0,0.0
-0.0862,0.18660000000000002,2.6254,1.406,1.2194,0.03428767252,1.9517544334,0.956,59.5,0.0,0.0,0.0,0.0
-0.0874,0.1532,2.6638,1.4084999999999999,1.2553,0.03087023339,1.9804941547500001,0.956,59.5,0.0,0.0,0.0,0.0
-0.0886,0.11980000000000002,2.7022,1.411,1.2912,0.02745279426,2.0092338761,0.956,59.5,0.0,0.0,0.0,0.0
-0.08979999999999999,0.08639999999999998,2.7405999999999997,1.4135,1.3271,0.024035355129999998,2.03797359745,0.956,59.5,0.0,0.0,0.0,0.0
-0.091,0.05299999999999999,2.779,1.416,1.363,0.020617916,2.0667133188,0.956,59.5,0.0,0.0,0.0,0.0
-0.07869999999999999,-0.041100000000000005,2.5667,1.2628,1.3039,0.02404484496,2.02462076223,0.956,59.5,0.0,0.0,0.0,0.0
-0.06639999999999999,-0.13520000000000001,2.3544,1.1096,1.2448,0.02747177392,1.9825282056600002,0.956,59.5,0.0,0.0,0.0,0.0
-0.054099999999999995,-0.2293,2.1421,0.9563999999999999,1.1857,0.03089870288,1.94043564909,0.956,59.5,0.0,0.0,0.0,0.0
-0.04179999999999999,-0.3234,1.9298,0.8031999999999999,1.1266,0.03432563184,1.8983430925200002,0.956,59.5,0.0,0.0,0.0,0.0
-0.02949999999999999,-0.41750000000000004,1.7175,0.6499999999999999,1.0675,0.0377525608,1.8562505359500001,0.956,59.5,0.0,0.0,0.0,0.0
-0.017199999999999993,-0.5115999999999999,1.5052,0.4967999999999999,1.0084,0.04117948976,1.81415797938,0.956,59.5,0.0,0.0,0.0,0.0
-0.004899999999999988,-0.6057,1.2929000000000002,0.3435999999999999,0.9493,0.04460641872,1.7720654228100001,0.956,59.5,0.0,0.0,0.0,0.0
0.007400000000000018,-0.6998,1.0806,0.1903999999999999,0.8902,0.048033347680000005,1.72997286624,0.956,59.5,0.0,0.0,0.0,0.0
0.01970000000000001,-0.7938999999999999,0.8683000000000001,0.0371999999999999,0.8311000000000001,0.05146027664,1.6878803096700001,0.956,59.5,0.0,0.0,0.0,0.0
0.032000000000000015,-0.888,0.6560000000000001,-0.1160000000000001,0.772,0.0548872056,1.6457877531,0.956,59.5,0.0,0.0,0.0,0.0
0.0271,-0.8366,0.6354000000000001,-0.1006,0.736,0.05399167697,1.67901313089,0.956,59.5,0.0,0.0,0.0,0.0
0.0222,-0.7852,0.6148,-0.0852,0.7,0.05309614834,1.71223850868,0.956,59.5,0.0,0.0,0.0,0.0
0.0173,-0.7338,0.5942000000000001,-0.06979999999999999,0.664,0.05220061971,1.74546388647,0.956,59.5,0.0,0.0,0.0,0.0
0.012400000000000001,-0.6824,0.5736,-0.05439999999999999,0.628,0.051305091080000004,1.77868926426,0.956,59.5,0.0,0.0,0.0,0.0
0.0075,-0.631,0.553,-0.03899999999999999,0.5920000000000001,0.05040956245,1.81191464205,0.956,59.5,0.0,0.0,0.0,0.0
0.002599999999999998,-0.5796,0.5324,-0.023599999999999982,0.556,0.04951403382,1.8451400198399999,0.956,59.5,0.0,0.0,0.0,0.0
-0.0023000000000000034,-0.5282,0.5118,-0.008199999999999985,0.52,0.04861850519,1.8783653976299999,0.956,59.5,0.0,0.0,0.0,0.0
-0.007199999999999998,-0.4768,0.49119999999999997,0.007200000000000012,0.484,0.04772297656,1.9115907754199999,0.956,59.5,0.0,0.0,0.0,0.0
-0.0121,-0.4254,0.4706,0.02260000000000001,0.448,0.04682744793,1.94481615321,0.956,59.5,0.0,0.0,0.0,0.0
-0.017,-0.374,0.45,0.038000000000000006,0.41200000000000003,0.0459319193,1.978041531,0.956,59.5,0.0,0.0,0.0,0.0
0.0206,-0.4271,0.3477,-0.039699999999999985,0.3874,0.04346342812,2.01430617762,0.956,59.5,0.0,0.0,0.0,0.0
0.0582,-0.4802,0.2454,-0.11739999999999998,0.3628,0.04099493694,2.05057082424,0.956,59.5,0.0,0.0,0.0,0.0
0.09580000000000001,-0.5333,0.1431,-0.1951,0.33820000000000006,0.03852644576,2.08683547086,0.956,59.5,0.0,0.0,0.0,0.0
0.13340000000000002,-0.5864,0.0408,-0.27279999999999993,0.3136,0.036057954579999996,2.12310011748,0.956,59.5,0.0,0.0,0.0,0.0
0.17099999999999999,-0.6395,-0.061499999999999944,-0.35050000000000003,0.28900000000000003,0.0335894634,2.1593647641,0.956,59.5,0.0,0.0,0.0,0.0
0.2086,-0.6926,-0.1638,-0.4282,0.2644,0.03112097222,2.19562941072,0.956,59.5,0.0,0.0,0.0,0.0
0.24619999999999997,-0.7457,-0.26609999999999995,-0.5058999999999999,0.2398,0.02865248104,2.23189405734,0.956,59.5,0.0,0.0,0.0,0.0
0.2838,-0.7988,-0.3684,-0.5835999999999999,0.2152,0.02618398986,2.2681587039599997,0.956,59.5,0.0,0.0,0.0,0.0
0.3214,-0.8519,-0.47069999999999995,-0.6613,0.19060000000000002,0.023715498680000002,2.30442335058,0.956,59.5,0.0,0.0,0.0,0.0
0.359,-0.905,-0.573,-0.739,0.166,0.0212470075,2.3406879972,0.956,59.5,0.0,0.0,0.0,0.0
0.3394,-0.8969,-0.5385,-0.7177,0.17920000000000003,0.01912230675,2.2436209380614285,0.956,59.5,0.09999999999999964,0.0,0.0,0.0
0.3198,-0.8888,-0.504,-0.6964,0.19240000000000002,0.016997606000000002,2.146553878922857,0.956,59.5,0.20000000000000107,0.0,0.0,0.0
0.30019999999999997,-0.8807,-0.4695,-0.6751,0.20560000000000003,0.01487290525,2.0494868197842857,0.956,59.5,0.3000000000000007,0.0,0.0,0.0
0.28059999999999996,-0.8726,-0.43499999999999994,-0.6538,0.21880000000000002,0.0127482045,1.952419760645714,0.956,59.5,0.40000000000000036,0.0,0.0,0.0
0.261,-0.8645,-0.40049999999999997,-0.6325000000000001,0.232,0.01062350375,1.8553527015071427,0.956,59.5,0.5,0.0,0.0,0.0
0.2414,-0.8563999999999999,-0.366,-0.6112,0.24520000000000003,0.008498803,1.7582856423685713,0.956,59.5,0.6000000000000014,0.0,0.0,0.0
0.2218,-0.8482999999999999,-0.33149999999999996,-0.5899,0.2584,0.006374102249999999,1.6612185832299997,0.956,59.5,0.7000000000000011,0.0,0.0,0.0
0.2022,-0.8402,-0.29699999999999993,-0.5686,0.2716,0.0042494015,1.5641515240914283,0.956,59.5,0.8000000000000007,0.0,0.0,0.0
0.1826,-0.8321,-0.26249999999999996,-0.5473,0.2848,0.00212470075,1.467084464952857,0.956,59.5,0.9000000000000004,0.0,0.0,0.0
0.163,-0.824,-0.22799999999999998,-0.526,0.298,0.0,1.3700174058142855,0.956,59.5,1.0,0.0,0.0,0.0
0.10790000000000001,-1.6743,-0.3715,-1.0229000000000001,0.6514,0.01425024462809524,1.2729503466757142,0.956,59.5,1.0,0.0,0.0,0.0
0.052800000000000014,-2.5246,-0.515,-1.5198,1.0048,0.02850048925619048,1.1758832875371428,0.932,60.0,1.0,0.0,0.0,0.0
-0.0022999999999999965,-3.3749,-0.6585,-2.0167,1.3581999999999999,0.04275073388428572,1.0788162283985714,0.9079999999999999,60.5,1.0,0.0,0.0,0.0
-0.05739999999999998,-4.2252,-0.8019999999999999,-2.5136000000000003,1.7115999999999998,0.05700097851238096,0.9817491692599998,0.884,61.0,1.0,0.0,0.0,0.0
-0.11250000000000002,-5.0755,-0.9455,-3.0105000000000004,2.065,0.0712512231404762,0.8846821101214284,0.86,61.5,1.0,0.0,0.0,0.0
-0.1676,-5.9258,-1.089,-3.5074000000000005,2.4183999999999997,0.08550146776857144,0.787615050982857,0.836,62.0,1.0,0.0,0.0,0.0
-0.22269999999999998,-6.7761,-1.2325,-4.004300000000001,2.7718,0.09975171239666668,0.6905479918442856,0.812,62.5,1.0,0.0,0.0,0.0
-0.27779999999999994,-7.626399999999999,-1.376,-4.501200000000001,3.1251999999999995,0.11400195702476192,0.5934809327057142,0.7879999999999999,63.0,1.0,0.0,0.0,0.0
-0.3329,-8.4767,-1.5194999999999999,-4.9981,3.4785999999999997,0.12825220165285717,0.4964138735671426,0.764,63.5,1.0,0.0,0.0,0.0
-0.388,-9.327,-1.663,-5.495,3.832,0.1425024462809524,0.39934681442857123,0.74,64.0,1.0,0.0,0.0,0.0
-0.4306,-11.039,-1.9266,-6.4828,4.5562,0.15675269090904764,0.30227975528999995,0.706,64.0,1.0,0.0,0.0,0.0
-0.4732,-12.751,-2.1902,-7.4706,5.2804,0.17100293553714288,0.5443836567799999,0.672,64.0,1.0,0.0,0.0,0.0
-0.5158,-14.463,-2.4538,-8.458400000000001,6.0046,0.18525318016523812,0.7864875582699999,0.638,64.0,1.0,0.0,0.0,0.0
-0.5584,-16.174999999999997,-2.7174000000000005,-9.446200000000001,6.7288,0.19950342479333336,1.0285914597599999,0.604,64.0,1.0,0.0,0.0,0.0
-0.601,-17.887,-2.981,-10.434000000000001,7.452999999999999,0.2137536694214286,1.2706953612499998,0.57,64.0,1.0,0.0,0.0,0.0
-0.6436,-19.598999999999997,-3.2446,-11.421800000000001,8.1772,0.22800391404952383,1.5127992627399998,0.536,64.0,1.0,0.0,0.0,0.0
-0.6861999999999999,-21.311,-3.5082000000000004,-12.409600000000001,8.901399999999999,0.24225415867761907,1.7549031642299997,0.502,64.0,1.0,0.0,0.0,0.0
-0.7287999999999999,-23.022999999999996,-3.7718000000000007,-13.397400000000001,9.625599999999999,0.25650440330571433,1.9970070657199996,0.46799999999999997,64.0,1.0,0.0,0.0,0.0
-0.7713999999999999,-24.734999999999996,-4.0354,-14.385200000000001,10.3498,0.27075464793380954,2.23911096721,0.43400000000000005,64.0,1.0,0.0,0.0,0.0
-0.814,-26.446999999999996,-4.299,-15.373000000000001,11.074,0.2850048925619048,2.4812148687,0.4,64.0,1.0,0.0,0.0,0.0
-0.8427,-27.7331,-4.3043000000000005,-16.0187,11.7144,0.29925513719,2.51340110793,0.392,64.1,1.0,0.0,0.0,0.0
-0.8714,-29.019199999999998,-4.3096000000000005,-16.6644,12.354800000000001,0.31829063078000003,2.54558734716,0.384,64.2,1.0,0.0,0.0,0.0
-0.9000999999999999,-30.3053,-4.314900000000001,-17.3101,12.9952,0.33732612437,2.5777735863899998,0.376,64.3,1.0,0.0,0.0,0.0
-0.9288,-31.5914,-4.320200000000001,-17.9558,13.6356,0.35636161796,2.60995982562,0.368,64.4,1.0,0.0,0.0,0.0
-0.9575,-32.8775,-4.3255,-18.601499999999998,14.276,0.37539711155,2.64214606485,0.36,64.5,1.0,0.0,0.0,0.0
-0.9862,-34.1636,-4.3308,-19.2472,14.916400000000001,0.39443260514,2.67433230408,0.35200000000000004,64.6,1.0,0.0,0.0,0.0
-1.0149,-35.4497,-4.3361,-19.892899999999997,15.5568,0.41346809873,2.70651854331,0.344,64.7,1.0,0.0,0.0,0.0
-1.0436,-36.7358,-4.3414,-20.5386,16.197200000000002,0.43250359232,2.7387047825399997,0.336,64.8,1.0,0.0,0.0,0.0
-1.0723,-38.0219,-4.3467,-21.1843,16.837600000000002,0.45153908591,2.77089102177,0.32799999999999996,64.9,1.0,0.0,0.0,0.0
-1.101,-39.308,-4.352,-21.83,17.478,0.4705745795,2.803077261,0.32,65.0,1.0,0.0,0.0,0.0
-1.1722,-39.8497,-4.350700000000001,-22.100199999999997,17.7495,0.48451368551999996,2.8219432656,0.324,64.2,1.0,0.0,0.0,0.0
-1.2434,-40.3914,-4.3494,-22.3704,18.021,0.49845279154,2.8408092702,0.32799999999999996,63.4,1.0,0.0,0.0,0.0
-1.3146,-40.9331,-4.3481000000000005,-22.6406,18.2925,0.5123918975599999,2.8596752748,0.332,62.6,1.0,0.0,0.0,0.0
-1.3858,-41.4748,-4.3468,-22.9108,18.564,0.52633100358,2.8785412794,0.336,61.8,1.0,0.0,0.0,0.0
-1.4569999999999999,-42.0165,-4.3455,-23.180999999999997,18.835500000000003,0.5402701096,2.897407284,0.34,61.0,1.0,0.0,0.0,0.0
-1.5282,-42.5582,-4.344200000000001,-23.4512,19.107000000000003,0.5542092156199999,2.9162732886000002,0.344,60.2,1.0,0.0,0.0,0.0
-1.5994,-43.0999,-4.3429,-23.7214,19.378500000000003,0.56814832164,2.9351392932,0.348,59.4,1.0,0.0,0.0,0.0
-1.6705999999999999,-43.6416,-4.341600000000001,-23.9916,19.650000000000002,0.58208742766,2.9540052978,0.35200000000000004,58.6,1.0,0.0,0.0,0.0
-1.7418,-44.1833,-4.3403,-24.2618,19.9215,0.5960265336799999,2.9728713024,0.35600000000000004,57.8,1.0,0.0,0.0,0.0
-1.813,-44.725,-4.339,-24.532,20.193,0.6099656397,2.991737307,0.36,57.0,1.0,0.0,0.0,0.0
-1.8198999999999999,-44.746700000000004,-4.472300000000001,-24.6095,20.1372,0.60496676286,2.93263354187,0.355,56.0,1.0,0.0,0.0,0.0
-1.8268,-44.7684,-4.6056,-24.687,20.081400000000002,0.59996788602,2.8735297767400003,0.35,55.0,1.0,0.0,0.0,0.0
-1.8336999999999999,-44.7901,-4.7389,-24.764499999999998,20.0256,0.59496900918,2.81442601161,0.345,54.0,1.0,0.0,0.0,0.0
-1.8406,-44.8118,-4.8722,-24.842,19.969800000000003,0.58997013234,2.75532224648,0.34,53.0,1.0,0.0,0.0,0.0
-1.8475,-44.8335,-5.0055,-24.9195,19.914,0.5849712555,2.69621848135,0.335,52.0,1.0,0.0,0.0,0.0
-1.8543999999999998,-44.8552,-5.1388,-24.997,19.8582,0.57997237866,2.63711471622,0.33,51.0,1.0,0.0,0.0,0.0
-1.8613,-44.8769,-5.2721,-25.0745,19.802400000000002,0.57497350182,2.57801095109,0.325,50.0,1.0,0.0,0.0,0.0
-1.8681999999999999,-44.8986,-5.4054,-25.151999999999997,19.7466,0.56997462498,2.51890718596,0.32,49.0,1.0,0.0,0.0,0.0
-1.8751,-44.9203,-5.5386999999999995,-25.229499999999998,19.690800000000003,0.56497574814,2.45980342083,0.315,48.0,1.0,0.0,0.0,0.0
-1.882,-44.942,-5.672,-25.307,19.635,0.5599768713,2.4006996557,0.31,47.0,1.0,0.0,0.0,0.0
-1.8947999999999998,-44.903800000000004,-5.9252,-25.4145,19.4893,0.5693648819799999,2.38603615368,0.312,46.8,1.0,0.0,0.0,0.0
-1.9076,-44.8656,-6.1784,-25.522,19.343600000000002,0.57875289266,2.3713726516599998,0.314,46.6,1.0,0.0,0.0,0.0
-1.9203999999999999,-44.8274,-6.4315999999999995,-25.6295,19.1979,0.58814090334,2.35670914964,0.316,46.4,1.0,0.0,0.0,0.0
-1.9331999999999998,-44.7892,-6.6848,-25.737,19.052200000000003,0.59752891402,2.34204564762,0.318,46.2,1.0,0.0,0.0,0.0
-1.9459999999999997,-44.751000000000005,-6.938000000000001,-25.8445,18.9065,0.6069169246999999,2.3273821455999997,0.32,46.0,1.0,0.0,0.0,0.0
-1.9587999999999999,-44.7128,-7.1912,-25.952,18.7608,0.61630493538,2.31271864358,0.322,45.8,1.0,0.0,0.0,0.0
-1.9715999999999998,-44.6746,-7.4444,-26.0595,18.6151,0.62569294606,2.29805514156,0.324,45.6,1.0,0.0,0.0,0.0
-1.9843999999999997,-44.6364,-7.6976,-26.167,18.4694,0.63508095674,2.28339163954,0.326,45.4,1.0,0.0,0.0,0.0
-1.9971999999999999,-44.598200000000006,-7.950800000000001,-26.2745,18.323700000000002,0.6444689674199999,2.2687281375199997,0.32799999999999996,45.2,1.0,0.0,0.0,0.0
-2.01,-44.56,-8.204,-26.382,18.178,0.6538569781,2.2540646355,0.33,45.0,1.0,0.0,0.0,0.0
-2.0115999999999996,-44.6394,-8.386800000000001,-26.5131,18.1263,0.67605260317,2.35023219688,0.326,45.1,1.0,0.0,0.0,0.0
-2.0132,-44.7188,-8.569600000000001,-26.6442,18.0746,0.69824822824,2.4463997582599997,0.322,45.2,1.0,0.0,0.0,0.0
