"HHb_d","HbO2_d","CCO_d","HbT_d","Hbdiff_d","SaO2sup","P_a","rocc","PCrPi_d","PCrEPP_d","PiEPP_d","PmeEPP_d","NTPEPP_d","PCrNTP_d","nadir_s","endhi_s","lin_s"
0.0,0.0,0.0,0.0,0.0,0.98,50.0,0.0,1.6579826927,0.3192609617,0.192559888,0.4945859581,0.2649963091,1.2047751259,0.0,0.0,0.0
-0.01137,-0.00183,0.00685,-0.0132,0.00954,0.98,50.0,0.0,1.6112473551800002,0.31757088927,0.19869889267000002,0.48959793857,0.26247457302,1.2103971893999999,0.0,0.0,0.0
-0.02274,-0.00366,0.0137,-0.0264,0.01908,0.98,50.0,0.0,1.56451201766,0.31588081684,0.20483789734000002,0.48460991904,0.25995283694,1.2160192529,0.0,0.0,0.0
-0.03411,-0.00549,0.02055,-0.0396,0.02862,0.98,50.0,0.0,1.5177766801400001,0.31419074441,0.21097690201000002,0.47962189951,0.25743110086,1.2216413164,0.0,0.0,0.0
-0.04548,-0.00732,0.0274,-0.0528,0.03816,0.98,50.0,0.0,1.47104134262,0.31250067198000003,0.21711590668,0.47463387998,0.25490936478,1.2272633799,0.0,0.0,0.0
-0.05685,-0.00915,0.03425,-0.066,0.0477,0.98,50.0,0.0,1.4243060051,0.31081059955,0.22325491135,0.46964586045,0.2523876287,1.2328854433999998,0.0,0.0,0.0
-0.06822,-0.01098,0.0411,-0.0792,0.05724,0.98,50.0,0.0,1.3775706675800001,0.30912052712,0.22939391602,0.46465784092,0.24986589262,1.2385075069,0.0,1.0,1.0
-0.07959,-0.01281,0.04795,-0.09240000000000001,0.06678,0.98,50.0,0.0,1.33083533006,0.30743045469,0.23553292069,0.45966982139,0.24734415654,1.2441295704,0.0,1.0,1.0
-0.09096,-0.01464,0.0548,-0.1056,0.07632,0.98,50.0,0.0,1.28409999254,0.30574038226,0.24167192535999998,0.45468180186,0.24482242046,1.2497516338999999,0.0,1.0,1.0
-0.10233,-0.01647,0.06165,-0.1188,0.08586,0.98,50.0,0.0,1.23736465502,0.30405030983000003,0.24781093003,0.44969378233,0.24230068438,1.2553736974,0.0,1.0,1.0
-0.1137,-0.0183,0.0685,-0.132,0.0954,0.98,50.0,0.0,1.1906293175,0.3023602374,0.2539499347,0.4447057628,0.2397789483,1.2609957609,0.0,1.0,1.0
-0.11262,0.0009000000000000015,0.06482,-0.11172000000000001,0.11351,0.98,50.0,0.0,1.21205967365,0.30229488922000003,0.25002975758,0.44216254647000003,0.24359896699,1.24343194067,0.0,1.0,1.0
-0.11154,0.020100000000000003,0.06114,-0.09144000000000001,0.13162000000000001,0.98,50.0,0.0,1.2334900298,0.30222954104,0.24610958046,0.43961933014,0.24741898567999998,1.22586812044,0.0,1.0,1.0
-0.11046,0.0393,0.057460000000000004,-0.07116,0.14973,0.98,50.0,0.0,1.25492038595,0.30216419286,0.24218940334,0.43707611381,0.25123900437,1.20830430021,0.0,1.0,1.0
-0.10938,0.05850000000000001,0.05378,-0.05088000000000001,0.16784,0.98,50.0,0.0,1.2763507421,0.30209884468,0.23826922622,0.43453289748,0.25505902306,1.1907404799799999,0.0,1.0,1.0
-0.10830000000000001,0.0777,0.050100000000000006,-0.030600000000000002,0.18595,0.98,50.0,0.0,1.29778109825,0.3020334965,0.23434904909999998,0.43198968115,0.25887904175,1.17317665975,0.0,1.0,1.0
-0.10722,0.09690000000000001,0.04642,-0.010319999999999996,0.20406000000000002,0.98,50.0,0.0,1.3192114544,0.30196814832,0.23042887198,0.42944646482,0.26269906044,1.15561283952,0.0,1.0,1.0
-0.10614,0.11610000000000002,0.04274,0.009959999999999997,0.22217000000000003,0.98,50.0,0.0,1.34064181055,0.30190280014,0.22650869486,0.42690324849,0.26651907913,1.13804901929,0.0,1.0,1.0
-0.10506,0.1353,0.03906,0.03023999999999999,0.24028,0.98,50.0,0.0,1.3620721667,0.30183745196,0.22258851774,0.42436003216,0.27033909782,1.12048519906,0.0,1.0,1.0
-0.10398,0.1545,0.03538,0.05052000000000001,0.25839,0.98,50.0,0.0,1.38350252285,0.30177210377999997,0.21866834062,0.42181681582999997,0.27415911651,1.1029213788299999,0.0,1.0,1.0
-0.1029,0.1737,0.0317,0.0708,0.2765,0.98,50.0,0.0,1.404932879,0.3017067556,0.2147481635,0.4192735995,0.2779791352,1.0853575586,0.0,1.0,1.0
-0.12032000000000001,0.21203,0.03102,0.09171,0.33226,0.98,50.0,0.0,1.39222113464,0.30289741775,0.21781627944,0.42084678593999997,0.27375139228,1.10987700307,0.0,1.0,1.0
-0.13774,0.25036,0.03034,0.11262,0.38802,0.98,50.0,0.0,1.37950939028,0.3040880799,0.22088439538000001,0.42241997238,0.26952364936,1.13439644754,0.0,1.0,1.0
-0.15516000000000002,0.28869,0.02966,0.13352999999999998,0.44377999999999995,0.98,50.0,0.0,1.36679764592,0.30527874205,0.22395251132,0.42399315882,0.26529590644,1.15891589201,0.0,1.0,1.0
-0.17258,0.32702,0.02898,0.15444,0.49954,0.98,50.0,0.0,1.35408590156,0.30646940419999996,0.22702062726,0.42556634526,0.26106816352,1.1834353364799999,0.0,1.0,1.0
-0.19,0.36535000000000006,0.0283,0.17535,0.5552999999999999,0.98,50.0,0.0,1.3413741572,0.30766006635,0.2300887432,0.42713953169999996,0.2568404206,1.20795478095,0.0,1.0,1.0
-0.20742000000000002,0.40368000000000004,0.02762,0.19626,0.6110599999999999,0.98,50.0,0.0,1.32866241284,0.3088507285,0.23315685914,0.42871271814,0.25261267768,1.23247422542,0.0,1.0,1.0
-0.22484000000000004,0.44201,0.02694,0.21717,0.66682,0.98,50.0,0.0,1.31595066848,0.31004139064999997,0.23622497508,0.43028590458,0.24838493476,1.25699366989,0.0,1.0,1.0
-0.24226000000000003,0.48034,0.02626,0.23807999999999999,0.7225799999999999,0.98,50.0,0.0,1.30323892412,0.3112320528,0.23929309102000001,0.43185909102,0.24415719184,1.28151311436,0.0,1.0,1.0
