"SaO2sup","P_a","rocc","HHb_d","HbO2_d","CCO_d","HbT_d","Hbdiff_d","PCrPi_d","PCrEPP_d","PiEPP_d","PmeEPP_d","NTPEPP_d","PCrNTP_d","nadir_s","endhi_s","lin_s"
0.96,58.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0501610774,0.2784404667,0.2651407224,0.4529490129,0.2491605984,1.117514039,0.0,0.0,0.0
0.96,58.4,0.0,-0.060270000000000004,0.0769,0.0046,0.01663,0.13717,1.0504849008700001,0.27984510195,0.26639264695,0.45237329213,0.24630601963999998,1.13834068737,0.0,0.0,0.0
0.96,58.4,0.0,-0.12054000000000001,0.1538,0.0092,0.03326,0.27434,1.0508087243400002,0.2812497372,0.2676445715,0.45179757136,0.24345144087999998,1.15916733574,0.0,0.0,0.0
0.96,58.4,0.0,-0.18081,0.23070000000000002,0.0138,0.04989,0.41151,1.05113254781,0.28265437245,0.26889649605,0.45122185059000003,0.24059686212,1.17999398411,0.0,0.0,0.0
0.96,58.4,0.0,-0.24108000000000002,0.3076,0.0184,0.06652,0.54868,1.05145637128,0.28405900770000003,0.2701484206,0.45064612982,0.23774228336,1.20082063248,0.0,0.0,0.0
0.96,58.4,0.0,-0.30135,0.3845,0.023,0.08315,0.68585,1.05178019475,0.28546364295000004,0.27140034515,0.45007040905,0.2348877046,1.22164728085,0.0,0.0,0.0
0.96,58.4,0.0,-0.36162,0.46140000000000003,0.0276,0.09978,0.82302,1.05210401822,0.2868682782,0.2726522697,0.44949468828,0.23203312584,1.24247392922,0.0,0.0,0.0
0.96,58.4,0.0,-0.42189,0.5383,0.0322,0.11641,0.96019,1.0524278416900001,0.28827291345,0.27390419425,0.44891896751,0.22917854708,1.26330057759,0.0,0.0,0.0
0.96,58.4,0.0,-0.48216000000000003,0.6152,0.0368,0.13304,1.09736,1.05275166516,0.2896775487,0.2751561188,0.44834324674000003,0.22632396832,1.2841272259599998,0.0,0.0,0.0
0.96,58.4,0.0,-0.54243,0.6921,0.0414,0.14967,1.23453,1.05307548863,0.29108218395,0.27640804335,0.44776752597,0.22346938956,1.30495387433,0.0,0.0,0.0
0.96,58.4,0.0,-0.6027,0.769,0.046,0.1663,1.3717,1.0533993121,0.2924868192,0.2776599679,0.4471918052,0.2206148108,1.3257805227,0.0,0.0,0.0
