"CCO_d","Hbdiff_d","HbT_d","HbO2_d","HHb_d","LacNaa_d","NaaCr_d","SaO2sup","P_a","rocc","nadir_s","endhi_s","lin_s"
0.0,0.0,0.0,0.0,0.0,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0013,0.0315,-0.047700000000000006,-0.0081,-0.039599999999999996,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0026,0.063,-0.09540000000000001,-0.0162,-0.07919999999999999,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0039,0.0945,-0.1431,-0.0243,-0.1188,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0052,0.126,-0.19080000000000003,-0.0324,-0.15839999999999999,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0065,0.1575,-0.23850000000000002,-0.040499999999999994,-0.198,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0078,0.189,-0.2862,-0.0486,-0.2376,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0091,0.2205,-0.33390000000000003,-0.05669999999999999,-0.2772,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0104,0.252,-0.38160000000000005,-0.0648,-0.31679999999999997,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.011699999999999999,0.28350000000000003,-0.4293,-0.07289999999999999,-0.3564,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.013,0.315,-0.47700000000000004,-0.08099999999999999,-0.396,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0071,0.3487,-0.4659,-0.058599999999999985,-0.4073,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.0012000000000000014,0.3824,-0.4548,-0.03619999999999999,-0.4186,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.004699999999999998,0.4161,-0.4437,-0.013799999999999993,-0.4299,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.010599999999999997,0.44980000000000003,-0.4326,0.00860000000000001,-0.44120000000000004,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.0165,0.48350000000000004,-0.4215,0.031000000000000014,-0.4525,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.022399999999999996,0.5172,-0.4104,0.0534,-0.4638,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.0283,0.5509000000000001,-0.3993,0.0758,-0.4751,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.034199999999999994,0.5846,-0.3882,0.09820000000000001,-0.4864,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.0401,0.6183000000000001,-0.3771,0.12060000000000001,-0.49770000000000003,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.046,0.652,-0.366,0.14300000000000002,-0.509,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.0321,0.5723,-0.3597,0.1063,-0.466,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.018199999999999994,0.49260000000000004,-0.3534,0.06960000000000001,-0.42300000000000004,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
-0.004299999999999991,0.4129,-0.34709999999999996,0.03290000000000001,-0.38,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.009600000000000011,0.3332,-0.3408,-0.003799999999999998,-0.337,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.023500000000000007,0.2535,-0.3345,-0.04049999999999998,-0.29400000000000004,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.03740000000000002,0.17379999999999995,-0.3282,-0.07719999999999999,-0.251,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.05130000000000001,0.09409999999999996,-0.32189999999999996,-0.1139,-0.20800000000000002,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.06520000000000002,0.014399999999999968,-0.3156,-0.1506,-0.16500000000000004,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
0.07910000000000002,-0.06530000000000002,-0.3093,-0.18730000000000002,-0.122,0.065582321,1.42896466849,0.978,56.5,0.0,0.0,0.0,0.0
