"SaO2sup","P_a","rocc","HHb_d","HbO2_d","CCO_d","HbT_d","Hbdiff_d","PCrPi_d","PCrEPP_d","PiEPP_d","PmeEPP_d","NTPEPP_d","PCrNTP_d","nadir_s","endhi_s","lin_s"
0.9784210526315789,43.17894736842105,0.0,0.0,0.0,0.0,0.0,0.0,1.6751719315,0.3583335625,0.2139085283,0.4258528518,0.2307932046,1.5526174748,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.051649999999999995,0.018000000000000002,0.02568,-0.033650000000000006,0.06965,1.66491816428,0.35730681042,0.21465035124,0.42876239496,0.23168130996,1.5425803519199999,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.10329999999999999,0.036000000000000004,0.05136,-0.06730000000000001,0.1393,1.65466439706,0.35628005834,0.21539217418,0.43167193812,0.23256941532,1.5325432290399998,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.15494999999999998,0.054,0.07704,-0.10095000000000001,0.20895,1.64441062984,0.35525330625999996,0.21613399712,0.43458148127999996,0.23345752068,1.52250610616,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.20659999999999998,0.07200000000000001,0.10272,-0.13460000000000003,0.2786,1.63415686262,0.35422655418,0.21687582006,0.43749102444,0.23434562604,1.51246898328,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.25825,0.09,0.1284,-0.16825,0.34825,1.6239030954,0.3531998021,0.217617643,0.4404005676,0.23523373139999998,1.5024318604,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.30989999999999995,0.108,0.15408,-0.20190000000000002,0.4179,1.61364932818,0.35217305002,0.21835946594,0.44331011076,0.23612183675999998,1.49239473752,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.36155,0.126,0.17976,-0.23555000000000004,0.48755,1.60339556096,0.35114629793999996,0.21910128888,0.44621965391999996,0.23700994211999998,1.48235761464,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.41319999999999996,0.14400000000000002,0.20544,-0.26920000000000005,0.5572,1.59314179374,0.35011954586,0.21984311182,0.44912919708,0.23789804747999999,1.4723204917600001,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.46484999999999993,0.162,0.23112,-0.30285000000000006,0.62685,1.58288802652,0.34909279378,0.22058493476,0.45203874024,0.23878615284,1.46228336888,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.5165,0.18,0.2568,-0.3365,0.6965,1.5726342593,0.3480660417,0.2213267577,0.4549482834,0.2396742582,1.452246246,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.45346,0.26637,0.24838,-0.18709000000000003,0.71983,1.57005149561,0.34541320988,0.21998127788,0.45044944790999997,0.24092552841999998,1.43452136324,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.39042,0.35274,0.23995999999999998,-0.03768000000000005,0.74316,1.56746873192,0.34276037806,0.21863579806,0.44595061242,0.24217679864,1.41679648048,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.32738,0.43911,0.23153999999999997,0.11172999999999994,0.76649,1.56488596823,0.34010754624,0.21729031824,0.44145177693,0.24342806885999999,1.3990715977200001,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.26433999999999996,0.52548,0.22311999999999999,0.2611399999999999,0.78982,1.56230320454,0.33745471441999997,0.21594483842,0.43695294144,0.24467933908,1.38134671496,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.20129999999999998,0.61185,0.2147,0.41054999999999997,0.81315,1.55972044085,0.3348018826,0.2145993586,0.43245410595,0.2459306093,1.3636218322,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.13826,0.6982200000000001,0.20628,0.5599599999999999,0.83648,1.55713767716,0.33214905078,0.21325387878,0.42795527046,0.24718187951999998,1.34589694944,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.07522000000000001,0.7845900000000001,0.19785999999999998,0.7093699999999998,0.85981,1.55455491347,0.32949621896,0.21190839896,0.42345643497,0.24843314974,1.3281720666799999,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,-0.012179999999999969,0.87096,0.18944,0.8587799999999999,0.88314,1.55197214978,0.32684338714,0.21056291914,0.41895759948,0.24968441996,1.31044718392,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,0.050860000000000016,0.95733,0.18102000000000001,1.00819,0.90647,1.54938938609,0.32419055531999996,0.20921743932,0.41445876399000003,0.25093569018,1.29272230116,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,0.1139,1.0437,0.1726,1.1576,0.9298,1.5468066224,0.3215377235,0.2078719595,0.4099599285,0.2521869604,1.2749974184,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,0.21123,1.02869,0.19114,1.23992,0.81746,1.53503764523,0.32144469988999996,0.20951872248,0.40940468418000003,0.25096349991,1.28111065435,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,0.30856,1.0136800000000001,0.20968,1.3222399999999999,0.70512,1.52326866806,0.32135167628,0.21116548546,0.40884943986,0.24974003942,1.2872238903,0.0,0.0,0.0
0.9784210526315789,43.17894736842105,0.0,0.40589,0.9986700000000001,0.22822,1.40456,0.59278,1.51149969089,0.32125865267,0.21281224844000002,0.40829419554,0.24851657892999998,1.29333712625,0.0,0.0,0.0
