"CCO_d","Hbdiff_d","HbT_d","HbO2_d","HHb_d","LacNaa_d","NaaCr_d","SaO2sup","P_a","rocc","nadir_s","endhi_s","lin_s"
0.0,0.0,0.0,0.0,0.0,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0018,-0.08199999999999999,0.05779999999999999,-0.0121,0.06989999999999999,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0036,-0.16399999999999998,0.11559999999999998,-0.0242,0.13979999999999998,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.005399999999999999,-0.24599999999999997,0.17339999999999997,-0.0363,0.20969999999999997,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0072,-0.32799999999999996,0.23119999999999996,-0.0484,0.27959999999999996,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.009,-0.41,0.289,-0.0605,0.3495,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.010799999999999999,-0.49199999999999994,0.34679999999999994,-0.0726,0.41939999999999994,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.012599999999999998,-0.574,0.40459999999999996,-0.0847,0.48929999999999996,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0144,-0.6559999999999999,0.4623999999999999,-0.0968,0.5591999999999999,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0162,-0.738,0.5202,-0.1089,0.6291,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.018,-0.82,0.578,-0.121,0.699,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.023799999999999998,-0.7512,0.6816,-0.034799999999999984,0.7163999999999999,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.029599999999999998,-0.6824,0.7851999999999999,0.05140000000000003,0.7338,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0354,-0.6135999999999999,0.8887999999999999,0.13760000000000006,0.7512,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0412,-0.5448,0.9924,0.22380000000000005,0.7686,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.047,-0.476,1.096,0.31000000000000005,0.786,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0528,-0.4072,1.1995999999999998,0.3962000000000001,0.8034,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0586,-0.33840000000000003,1.3032,0.48240000000000005,0.8208,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0644,-0.26960000000000006,1.4068,0.5686000000000001,0.8382000000000001,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0702,-0.2008000000000001,1.5104,0.6548,0.8556,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.076,-0.132,1.6139999999999999,0.7410000000000001,0.873,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0806,-0.04580000000000001,1.7962,0.8752000000000001,0.921,0.08097188902,1.48743627084,0.93,48.1,0.0,0.0,0.0,0.0
-0.0852,0.04039999999999999,1.9784000000000002,1.0094,0.969,0.07761220894,1.49999754308,0.93,48.1,0.0,0.0,0.0,0.0
-0.08979999999999999,0.1266,2.1606,1.1436000000000002,1.017,0.07425252886,1.51255881532,0.93,48.1,0.0,0.0,0.0,0.0
-0.0944,0.2128,2.3428,1.2778,1.065,0.07089284878,1.52512008756,0.93,48.1,0.0,0.0,0.0,0.0
-0.099,0.299,2.525,1.4120000000000001,1.113,0.0675331687,1.5376813598,0.93,48.1,0.0,0.0,0.0,0.0
-0.1036,0.3852,2.7072000000000003,1.5462000000000002,1.161,0.06417348862,1.55024263204,0.93,48.1,0.0,0.0,0.0,0.0
-0.10819999999999999,0.47139999999999993,2.8894,1.6804000000000001,1.209,0.06081380854,1.56280390428,0.93,48.1,0.0,0.0,0.0,0.0
-0.1128,0.5576,3.0716,1.8146,1.2570000000000001,0.057454128460000004,1.5753651765199999,0.93,48.1,0.0,0.0,0.0,0.0
-0.1174,0.6438,3.2538,1.9488,1.305,0.05409444838,1.58792644876,0.93,48.1,0.0,0.0,0.0,0.0
-0.122,0.73,3.436,2.083,1.353,0.0507347683,1.600487721,0.93,48.1,0.0,0.0,0.0,0.0
-0.1147,0.6875,3.4506,2.0690500000000003,1.38155,0.05137261979,1.6037045912099999,0.93,48.1,0.0,0.0,0.0,0.0
-0.1074,0.645,3.4652,2.0551000000000004,1.4101,0.05201047128,1.60692146142,0.93,48.1,0.0,0.0,0.0,0.0
-0.1001,0.6025,3.4798,2.04115,1.43865,0.05264832277,1.61013833163,0.93,48.1,0.0,0.0,0.0,0.0
-0.0928,0.56,3.4943999999999997,2.0272,1.4671999999999998,0.05328617426,1.61335520184,0.93,48.1,0.0,0.0,0.0,0.0
-0.08549999999999999,0.5175,3.509,2.01325,1.49575,0.05392402574999999,1.6165720720499999,0.93,48.1,0.0,0.0,0.0,0.0
-0.07819999999999999,0.475,3.5236,1.9993,1.5243,0.054561877239999994,1.61978894226,0.93,48.1,0.0,0.0,0.0,0.0
-0.07089999999999999,0.4325,3.5382,1.98535,1.5528499999999998,0.055199728729999994,1.62300581247,0.93,48.1,0.0,0.0,0.0,0.0
-0.06359999999999999,0.39,3.5528,1.9714,1.5814,0.055837580219999995,1.62622268268,0.93,48.1,0.0,0.0,0.0,0.0
-0.0563,0.3475,3.5673999999999997,1.9574500000000001,1.60995,0.056475431709999996,1.62943955289,0.93,48.1,0.0,0.0,0.0,0.0
-0.049,0.305,3.582,1.9435,1.6384999999999998,0.0571132832,1.6326564231,0.93,48.1,0.0,0.0,0.0,0.0
-0.042800000000000005,0.21089999999999998,3.4071,1.809,1.5980999999999999,0.0611507778,1.62533587673,0.93,48.1,0.0,0.0,0.0,0.0
-0.0366,0.11679999999999999,3.2321999999999997,1.6745,1.5576999999999999,0.0651882724,1.61801533036,0.93,48.1,0.0,0.0,0.0,0.0
-0.0304,0.022699999999999998,3.0572999999999997,1.54,1.5172999999999999,0.069225767,1.61069478399,0.93,48.1,0.0,0.0,0.0,0.0
-0.0242,-0.07140000000000002,2.8823999999999996,1.4055,1.4768999999999999,0.07326326159999999,1.60337423762,0.93,48.1,0.0,0.0,0.0,0.0
-0.018000000000000002,-0.16550000000000004,2.7075,1.271,1.4364999999999999,0.0773007562,1.5960536912499999,0.93,48.1,0.0,0.0,0.0,0.0
-0.011799999999999998,-0.2596,2.5326,1.1365,1.3961,0.0813382508,1.58873314488,0.93,48.1,0.0,0.0,0.0,0.0
-0.005600000000000001,-0.35370000000000007,2.3577,1.0020000000000002,1.3557,0.0853757454,1.58141259851,0.93,48.1,0.0,0.0,0.0,0.0
0.0006000000000000033,-0.44780000000000003,2.1828,0.8675000000000002,1.3153,0.08941324,1.57409205214,0.93,48.1,0.0,0.0,0.0,0.0
0.0068000000000000005,-0.5419,2.0079000000000002,0.7330000000000001,1.2749,0.0934507346,1.5667715057699998,0.93,48.1,0.0,0.0,0.0,0.0
0.012999999999999998,-0.6360000000000001,1.833,0.5985,1.2345,0.0974882292,1.5594509594,0.93,48.1,0.0,0.0,0.0,0.0
0.0169,-0.6507000000000001,1.7823,0.5658000000000001,1.2165,0.09505404007,1.5719395078999998,0.93,48.1,0.0,0.0,0.0,0.0
0.0208,-0.6654,1.7316,0.5331,1.1985,0.09261985094,1.5844280564,0.93,48.1,0.0,0.0,0.0,0.0
0.0247,-0.6801,1.6809,0.5004000000000001,1.1804999999999999,0.09018566181,1.5969166048999999,0.93,48.1,0.0,0.0,0.0,0.0
0.0286,-0.6948,1.6302,0.4677,1.1624999999999999,0.08775147268,1.6094051534,0.93,48.1,0.0,0.0,0.0,0.0
0.0325,-0.7095,1.5795,0.43500000000000005,1.1444999999999999,0.08531728355,1.6218937019,0.93,48.1,0.0,0.0,0.0,0.0
0.036399999999999995,-0.7242000000000001,1.5288,0.40230000000000005,1.1265,0.08288309442,1.6343822503999998,0.93,48.1,0.0,0.0,0.0,0.0
0.040299999999999996,-0.7389,1.4781,0.36960000000000004,1.1085,0.08044890529,1.6468707989,0.93,48.1,0.0,0.0,0.0,0.0
0.044199999999999996,-0.7536,1.4274,0.33690000000000003,1.0905,0.07801471616,1.6593593474,0.93,48.1,0.0,0.0,0.0,0.0
0.0481,-0.7683,1.3767,0.3042,1.0725,0.07558052703,1.6718478959,0.93,48.1,0.0,0.0,0.0,0.0
0.052,-0.783,1.326,0.2715,1.0545,0.0731463379,1.6843364444,0.93,48.1,0.0,0.0,0.0,0.0
0.0544,-0.7605000000000001,1.3164,0.27795000000000003,1.03845,0.06583170411,1.67296073048,0.93,48.1,0.10000000000000053,0.0,0.0,0.0
