"CCO_d","Hbdiff_d","HbT_d","HbO2_d","HHb_d","LacNaa_d","NaaCr_d","SaO2sup","P_a","rocc","nadir_s","endhi_s","lin_s"
0.0,-0.004,-0.004,-0.004,0.0,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.039599999999999996,0.006400000000000001,0.0838,0.04509999999999999,0.0387,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.07919999999999999,0.016800000000000002,0.1716,0.09419999999999998,0.0774,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.1188,0.027200000000000002,0.2594,0.14329999999999998,0.1161,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.15839999999999999,0.03760000000000001,0.3472,0.19239999999999996,0.1548,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.198,0.048,0.435,0.24149999999999996,0.1935,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2376,0.05840000000000001,0.5228,0.29059999999999997,0.2322,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2772,0.0688,0.6106,0.33969999999999995,0.2709,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.31679999999999997,0.0792,0.6984,0.3887999999999999,0.3096,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3564,0.0896,0.7862,0.43789999999999996,0.3483,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.396,0.1,0.874,0.48699999999999993,0.387,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3881,0.139,0.8584,0.4987,0.3597,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.38020000000000004,0.17800000000000002,0.8428,0.5104,0.33240000000000003,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3723,0.21700000000000003,0.8271999999999999,0.5221,0.30510000000000004,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3644,0.256,0.8116,0.5337999999999999,0.2778,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.35650000000000004,0.29500000000000004,0.796,0.5455,0.2505,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3486,0.334,0.7804,0.5572,0.2232,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3407,0.373,0.7647999999999999,0.5689,0.1959,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3328,0.41200000000000003,0.7492,0.5806,0.1686,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3249,0.45100000000000007,0.7336,0.5922999999999999,0.1413,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.317,0.49,0.718,0.604,0.11399999999999999,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.32030000000000003,0.44989999999999997,0.8212999999999999,0.6355999999999999,0.18569999999999998,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3236,0.4098,0.9246,0.6672,0.25739999999999996,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.32689999999999997,0.3697,1.0278999999999998,0.6988,0.32909999999999995,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3302,0.3296,1.1312,0.7303999999999999,0.40079999999999993,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3335,0.2895,1.2345,0.762,0.4725,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3368,0.24939999999999998,1.3377999999999999,0.7936,0.5442,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.34009999999999996,0.20929999999999999,1.4411,0.8251999999999999,0.6158999999999999,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3434,0.16919999999999996,1.5444,0.8568,0.6875999999999999,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3467,0.1291,1.6477,0.8884,0.7593,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.35,0.08899999999999997,1.751,0.9199999999999999,0.831,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.35369999999999996,0.1305,1.8733,1.0019,0.8714,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3574,0.172,1.9956,1.0837999999999999,0.9117999999999999,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3611,0.21350000000000002,2.1179,1.1657,0.9522,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3648,0.255,2.2402,1.2476,0.9926,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3685,0.2965,2.3625,1.3295,1.033,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3722,0.338,2.4848,1.4114,1.0734000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3759,0.37950000000000006,2.6071,1.4933,1.1138000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3796,0.42100000000000004,2.7294,1.5752000000000002,1.1542000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3833,0.4625,2.8517,1.6571,1.1946,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.387,0.504,2.974,1.739,1.235,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.36760000000000004,0.6043,2.9589000000000003,1.7816,1.1773,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3482,0.7046,2.9438,1.8242,1.1196000000000002,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3288,0.8049,2.9287,1.8668,1.0619,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3094,0.9052,2.9136,1.9094,1.0042,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.29000000000000004,1.0055,2.8985000000000003,1.952,0.9465000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2706,1.1058,2.8834,1.9946000000000002,0.8888,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2512,1.2061,2.8683,2.0372,0.8311000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2318,1.3064,2.8532,2.0798,0.7734000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2124,1.4066999999999998,2.8381,2.1224,0.7157,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.193,1.507,2.823,2.165,0.658,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2167,1.3320999999999998,2.7479,2.04,0.7079,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2404,1.1572,2.6728,1.915,0.7578,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2641,0.9823,2.5977,1.79,0.8077000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.2878,0.8073999999999999,2.5225999999999997,1.665,0.8576,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3115,0.6325,2.4475,1.54,0.9075,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3352,0.4576,2.3724,1.415,0.9574,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3589,0.28269999999999995,2.2973,1.29,1.0073,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3826,0.1077999999999999,2.2222,1.165,1.0572,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.4063,-0.06709999999999994,2.1471,1.04,1.1071,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.42999999999999994,-0.242,2.072,0.915,1.157,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.41659999999999997,-0.1768,1.9166,0.8699,1.0467,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.4032,-0.1116,1.7612,0.8248,0.9364000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3898,-0.046400000000000025,1.6058000000000001,0.7797000000000001,0.8261000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3764,0.018799999999999983,1.4504000000000001,0.7346,0.7158000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.363,0.08399999999999996,1.295,0.6895,0.6055,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3496,0.14919999999999994,1.1396000000000002,0.6444,0.4952000000000001,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3362,0.21439999999999992,0.9842000000000002,0.5992999999999999,0.38490000000000013,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
-0.3228,0.27959999999999996,0.8288000000000002,0.5542,0.2746000000000002,nan,nan,0.99,55.0,0.0,0.0,0.0,0.0
