"SaO2sup","P_a","HHb_d","HbO2_d","HbT_d","CCO_d","_PCr_d","_P_d","_ATP_d","ignore","ignore"
1.0,49.3752401889,0.0,-0.351509637903,-0.484226866029,0.0121052041049,5.76768450981,1.10601902852,3.0,7.03612137346,7.02
1.0,49.3748778701,0.0,-0.36004263496,-0.493318321023,0.012135180124,5.76763862745,1.10960503565,3.0,7.03585208334,7.02
1.0,49.3745155512,0.0,-0.368075421845,-0.501909565843,0.0121651561432,5.76792161718,1.1130262448,3.0,7.03552083334,7.02
1.0,49.3741532324,0.0,-0.375607998558,-0.510000600492,0.0121951321624,5.76853347899,1.11626180036,3.0,7.03512762346,7.02
1.0,49.3737909135,0.0,-0.382640365099,-0.517591424968,0.0122251081816,5.76947421289,1.11931170232,3.0,7.0346724537,7.02
1.0,49.3734285947,0.0,-0.389172521467,-0.524682039272,0.0122550842008,5.77074381886,1.12217595068,3.0,7.03416550926,7.02
1.0,49.3730662759,0.0,-0.395204467663,-0.531272443404,0.01228506022,5.77234229692,1.12485454546,3.0,7.0336662037,7.02
1.0,49.372703957,0.0,-0.400736203687,-0.537362637363,0.0123150362392,5.77426964706,1.12734748663,3.0,7.03320407407,7.02
1.0,49.3723416382,0.0,-0.405767729538,-0.542952621149,0.0123450122583,5.77652586928,1.12965477421,3.0,7.03277912037,7.02
1.0,49.3719793193,0.0,-0.410299045217,-0.548042394764,0.0123749882775,5.77911096359,1.1317764082,3.0,7.03239134259,7.02
1.0,49.3716170005,0.0,-0.414330150723,-0.552631958206,0.0124049642967,5.78207878712,1.13371238859,3.0,7.03204074074,7.02
1.0,49.3712546816,0.0,-0.417861046057,-0.556721311476,0.0124349403159,5.78546910458,1.13546271539,3.0,7.03172731481,7.02
1.0,49.3708923628,0.0,-0.420891731219,-0.560310454573,0.0124649163351,5.7890132493,1.13702738859,3.0,7.03145106481,7.02
1.0,49.370530044,0.0,-0.423422206209,-0.563399387498,0.0124948923543,5.79271122129,1.1384064082,3.0,7.03121199074,7.02
1.0,49.3626798024,0.0,-0.425452471026,-0.565988110251,0.0125248683735,5.79656302054,1.13959977421,3.0,7.03101009259,7.02
1.0,49.3515686913,0.0,-0.426982525671,-0.568076622831,0.0125548443926,5.80056864706,1.14060748663,3.0,7.03084537037,7.02
1.0,49.3404575802,0.0,-0.428012370143,-0.569664925239,0.0125848204118,5.80472810084,1.14142954546,3.0,7.03071018518,7.02
1.0,49.3293464691,0.0,-0.428542004443,-0.570753017475,0.012614796431,5.80904138189,1.14215926025,3.0,7.030575,7.02
1.0,49.318235358,0.0,-0.428571428571,-0.571340899538,0.0126447724502,5.8135084902,1.14283834225,3.0,7.03043981481,7.02
1.0,49.3071242469,0.0,-0.428571428571,-0.571428571429,0.0126747484694,5.81812942577,1.14346679144,3.0,7.03030462963,7.02
1.0,49.2960131357,0.0,-0.428571428571,-0.571428571429,0.0127047244886,5.82290418861,1.14404460784,3.0,7.0301762963,7.02
1.0,49.2849020246,0.0,-0.428571428571,-0.571428571429,0.0127347005078,5.82783277871,1.14457179144,3.0,7.03006148148,7.02
1.0,49.2737909135,0.0,-0.428571428571,-0.571428571429,0.0127646765269,5.83291519608,1.14504834225,3.0,7.02996018519,7.02
1.0,49.2626798024,0.0,-0.428571428571,-0.571428571429,0.0127946525461,5.83815144071,1.14547426025,3.0,7.02987240741,7.02
